"episode","actor","time_stamp","description"
1,"Vex'ahlia","1:17:25","Charisma check: ""I'll fight this bear!"""
1,"Vax’ildan","2:25:08","Initiative vs. Goblins and Trolls"
1,"Percy","2:34:53","Insight vs. Fleeing goblins"
1,"Vax’ildan","2:38:41","1st Poison Dagger attack vs. Ogre"
1,"Keyleth","2:54:08","Con save vs. Naga poison"
2,"Vex’ahlia","0:42:08","Looking for entrance to House Thunderbrand"
2,"Vex’ahlia","1:15:54","Looking for tracks"
2,"Percy","1:56:49","Jamming second shot vs. Umber hulk"
2,"Grog","2:06:21","Confused attack vs. Tiberius (technically a win!"
3,"Vex’ahlia","0:23:32","Religion Check vs. Bahamut symbol"
3,"Keyleth","0:55:48","Check for bats"
3,"Percy","1:30:06","Intelligence check about Mind Flayers"
3,"Vax’ildan","1:54:14","Dex check vs. Fall (negated by advantage"
3,"Percy","2:29:15","Insight vs. Clarota"
4,"Grog","1:10:37","Stealth check"
4,"Pike","1:10:37","Stealth check"
4,"Keyleth","1:30:35","Secondary stealth check vs. Duergar Camp"
4,"Vax’ildan","1:44:30","Stealth vs. Mind Flayer (negated by advantage"
4,"Keyleth","2:11:01","Stealth check vs. Bulette"
5,"Vex’ahlia","0:53:30","Acrobatics vs. plummeting flying carpet"
5,"Vex’ahlia","1:10:05","Stealth vs. Duergar patrol"
6,"Scanlan","0:51:33","Stealth check approaching the red spire"
6,"Percy","1:00:51","Second communal stealth check (group succeeded overall"
6,"Vex'ahlia","1:09:50","Investigation vs. lava flow (negated by advantage"
6,"Vex'ahlia","1:35:05","Attack vs. Duergar guard"
6,"Vax’ildan","2:29:24","Picking Kima’s locks"
7,"Tiberius","0:21:30","Group Perception check for guards"
7,"Pike","1:07:23","Saving throw vs. Surprise Mind Blast"
7,"Vax’ildan","1:38:12","Perception vs. Duergar Armory"
8,"Trinket","1:05:25","Stealth check"
8,"Percy","1:37:05","Initiative Roll"
8,"Vax’ildan","1:47:47","Attack vs. Abyssal Abomination"
9,"Vex'ahlia","00:29:10","Attack vs. duergar"
9,"Vax'ildan","2:15:10","Con save vs. curse of gold dwarven armor"
9,"Vax'ildan","2:25:55","Perception check on beach"
10,"Vax’ildan","1:01:52","Attack vs. Cloaker in darkness (disadvantage"
10,"Percy","1:06:22","Wis save vs. Cloaker’s cry"
10,"Scanlan","2:52:54","Stealth Check (Negated by advantage, invisibility"
11,"Vex’ahlia","0:15:04","Acrobatics vs. Fomorian (negated by advantage"
11,"Vax’ildan","0:17:04","Con save vs. Fomorian’s “nasty ass scent”"
11,"Vax’ildan","0:22:58","Attack vs. Fomorian"
11,"Scanlan","0:45:20","Initiative vs. Fomorian"
11,"Scanlan","1:16:35","History check on Fomorians (strengths and weaknesses"
11,"Trinket","2:36:25","Stealth check while flying to the temple"
11,"Grog","4:14:22","Axe throw with chain of returning vs. K'varn (chain breaks"
11,"Vax'ildan","4:18:20","Dagger attack vs. K'varn (negated by Luck"
11,"Vax'ildan","4:18:33","Dagger attack vs. K'varn"
13,"Pike","0:50:01","Wis save vs. stun"
13,"Grog","0:57:12","Breaking the grapple vs. experiment"
14,"Percy","1:10:51","Insight check vs. Sovereign Uriel about Briarwoods"
15,"Pike","2:33:41","Attack vs. wyvern"
15,"Trinket","2:37:54","Attack vs. wyvern"
15,"Tiberius","2:55:14","Acrobatics to avoid falling down the stairs"
16,"Grog","0:14:50","Sleep check vs. Rope beard"
16,"Vex’ahlia","0:43:30","Stealth across Vasselheim’s rooftops"
16,"Vax’ildan","1:23:13","Perception check vs. mist room"
16,"Percy","2:17:25","Con save vs. Spider poison"
17,"Vax’ildan","2:22:27","Dagger against Hydra"
17,"Vex’ahlia","2:39:19","Misfiring the exploding arrow"
17,"Percy","2:45:46","Wis save vs. Hold Person"
18,"Zahra","0:49:50","Religion check on statue"
19,"Grog","0:16:10","Persuasion vs. frost giants"
19,"Grog","0:41:30","Persuasion vs. frost giants"
19,"Zahra","0:50:20","Perception check in mountain"
19,"Lyra","1:59:35","Initiative vs. Rimefang (-1 after modifier!"
20,"Thorbir","1:07:38","Intimidation vs. Bastion officers"
20,"Thorbir","1:23:01","History check on Lord Tirell"
20,"Thorbir","2:36:06","Axe vs. Door… But actually Wall"
20,"Kashaw","2:42:12","Perception vs. bedroom"
20,"Thorbir","2:58:59","Check for tracks (negated b/c advantage… for a 4."
21,"Thorbir","0:45:00","Attack vs. crotch-biting rat"
21,"Thorbir","1:13:00","Check during Kashaw’s history speech"
21,"Keyleth","1:29:40","Possessed attack vs. Kashaw"
21,"Thorbir","1:40:17","Attack vs. possessed Vax"
21,"Vax’ildan","1:45:56","Possessed attack vs. Thorbir (negated by advantage"
21,"Thorbir","2:50:55","Initiative vs. Hotis"
21,"Thorbir","2:59:55","Dex save vs. Shield Guardian’s Fireball"
21,"Thorbir","3:10:42","Attack vs. Shield Guardian"
22,"Grog","2:26:30","Perception vs. avalanche sources"
22,"Vax’ildan","2:28:56","Dex check vs. Ettin boulder"
22,"Vax’ildan","2:40:04","Perception to spot Pyrah"
22,"Tiberius","2:40:04","Perception to spot Pyrah"
22,"Keyleth","3:10:44","Wis check to find signs of mother (negated by advantage"
22,"Percy","3:19:15","Initiative vs. Fire Druid Elementals"
22,"Grog","3:19:15","Initiative vs. Fire Druid Elementals"
22,"Tiberius","3:22:07","Dex Save vs. Fire Elemental 1 attack"
22,"Vex’ahlia","4:12:35","Acrobatic check from portal"
22,"Tiberius","4:12:35","Acrobatic check from portal"
23,"Grog","1:06:31","Athletics check vs. Kern’s Grapple"
24,"Keyleth","0:59:15","Negotation vs. Sherri over books"
24,"Tiberius","2:06:45","Persuasion vs. Master Thunderbrand to re-enchant the carpet"
24,"Tiberius","2:41:10","Con save vs. Percy’s test run of Diplomacy"
25,"Vax'ildan","1:45:38","Dagger attack vs. Lord Briarwood"
26,"Vax’ildan","3:08:40","Stealth check above mountain (negated by advantage… for a 2."
27,"Grog","0:41:24","Holy oil punch vs. Invisible Stalker"
27,"Vax’ildan","1:15:12","Perception at breakfast vs. the Seeker"
27,"Vax’ildan","2:56:39","Int check vs. bridge to support Grog’s weight"
27,"Vax’ildan","3:02:27","Athletics check against the mountain winds"
27,"Tiberius","3:05:03","Perception check vs. harpies"
27,"Grog","3:21:31","Perception vs. Behir"
27,"Scanlan","3:21:31","Perception vs. Behir"
28,"Grog","1:33:00","Stealth vs. murder of crows"
28,"Keyleth","1:52:27","Perception of Whitestone (negated by advantage"
28,"Percy","2:28:33","Stealth into Whitestone"
29,"Vax’ildan","0:42:35","Perception check of Xenith"
29,"Percy","0:54:50","Wis save vs. Banshee (negated by advantage"
29,"Vax’ildan","2:23:02","Perception vs. wine cellar"
30,"Vex’ahlia","0:41:10","Arcana check vs. mist"
30,"Grog","0:51:56","Firebrand Warhammer vs. Vampire 1"
30,"Grog","0:54:42","Str Check to release hammer from wall"
30,"Vex’ahlia","0:56:50","Bow attack vs. Vampire 1"
30,"Percy","0:58:26","Rapier Attack vs. Vampire 1"
30,"Keyleth","1:25:11","Int Check vs. Sun Tree"
31,"Vax’ildan","p1.","Third Dagger vs. Count’s Guard"
31,"Percy","p2.","Perception of Sun Tree’s hanging victims"
32,"Keyleth","0:48:48","Perception of giants in the rain"
32,"Keyleth","1:29:08","Initiative vs. Zombie Giant 2"
32,"Percy","1:33:48","Str save vs. thrown boulder"
32,"Keyleth","2:48:50","Con save after sleeping in the tunnel"
32,"Grog","3:03:29","Pushing the statue out of the doorway"
32,"Vex’ahlia","3:05:23","Pushing the statue out of the doorway"
33,"Percy","p1.","Pepperbox against Anders"
33,"Keyleth","p2.","Rolling Taliesin’s die to see if it rolls another 20. It didn’t."
33,"Grog","p2.","Initiative vs. Ghosts (negated by advantage… for a 2."
33,"Percy","p2.","Pepperbox against Possessed Vax’ildan"
33,"Percy","p2.","Charisma save vs. possession by ghost"
34,"Keyleth","1:08:18","Perception check vs. Copper Room’s ceiling"
34,"Keyleth","2:09:27","Stealth after the Briarwoods"
34,"Scanlan","2:13:00","Perception check to look at the ziggurat"
34,"Percy","2:43:38","Con Save vs. Craven Edge"
34,"Vex’ahlia","2:48:38","First Storm Arrow vs. Sylas Briarwood"
34,"Keyleth","4:04:45","Perception vs. Delilah Briarwood’s ritual"
34,"Vex’ahlia","4:39:34","For the hell of it"
35,"Percy","p1.","Bad News vs. Orthax (negated by advantage"
35,"Vex’ahlia","p1.","Holy Arrow vs. Orthax (negated by advantage… for a 2."
35,"Pike","p1.","Guiding Bolt vs. Orthax (negated by advantage, for a crit!"
36,"Scanlan","1:13:27","Strength check vs. Jasper the Farmer"
36,"Grog","1:18:32","Strength check vs. Jasper the Farmer"
36,"Grog","1:27:05","Strength check vs. Trisha (negated by advantage"
36,"Vex’ahlia","2:06:09","Con Save vs. Pie, Round 2"
38,"Vex’ahlia","2:01:28","Perception check for signs of life within Krieg’s house"
38,"Grog","2:25:54","History check on Ank’Harel"
38,"Vex'ahlia","2:39:50","Perception check vs. secret stairway"
38,"Vex'ahlia","2:41:48","Survival check for tracks around teleporter"
39,"Percy","2:49:11","Persuasion vs. Warden Hume"
39,"Percy","3:35:18","Initiative vs. Raishan the Ancient Green Dragon"
40,"Grog","2:19:04","Strength Check to spike the skull on the ground"
42,"Vax’ildan","1:18:03","Initiative Roll"
42,"Keyleth","3:03:54","Stealth Check"
43,"Vax’ildan","3:21:28","Dagger against Groon"
44,"Keyleth","2:04:24","Stealth Check"
44,"Grog","2:37:33","Acrobatics Check"
44,"Zahra","3:46:50","Eldritch Blast with Agonizing Blast"
44,"Vex’ahlia","4:23:35","Dexterity Save"
48,"Vex’ahlia","0:52:45","Dexterity Check"
48,"Vex’ahlia","1:40:53","Arrow against Chicken with disadvantage"
48,"Vax’ildan","1:51:47","Perception Check"
48,"Grog","1:56:46","Religion Check"
48,"Vex’ahlia","2:49:15","Perception Check (disregarded due to advantage"
48,"Vex’ahlia","2:49:15","Perception Check with advantage"
49,"Vex’ahlia","0:18:44","Perception Check"
49,"Trinket","1:15:09","Cannonball against Orc 5"
49,"Scanlan","1:54:40","Perception Check"
49,"Grog","2:41:38","Constitution Save"
49,"Scanlan","2:55:42","Intelligence Check"
49,"Vex’ahlia","3:25:07","Religion Check"
49,"Vex’ahlia","3:32:37","Constitution Saving Throw"
50,"Grog","0:29:25","Constitution Save with disadvantage"
51,"Grog","0:49:15","Intimidation Check"
51,"Vex’ahlia","1:44:00","Acrobatics Check"
52,"Percy","2:01:51","Acrobatics Check with disadvantage"
52,"Grog","2:31:43","Blood Axe Attack Reckless Attack against Kevdak (disregarded"
52,"Keyleth","3:03:53","Wisdom Check"
53,"Vex’ahlia","1:23:03","Investigation Check"
53,"Percy","2:34:16","Wisdom Save"
55,"Scanlan","0:25:26","Strength Check"
55,"Grog","0:32:52","Athletics Check with advantage (disregarded"
55,"Grog","0:33:37","Strength Check"
55,"Percy","2:32:02","Pistol with disadvantage"
55,"Vex’ahlia","2:42:13","Dexterity Save"
55,"Shale","3:10:38","Staff"
55,"Percy","3:32:12","Dragonslayer Longsword with advantage (disregarded"
55,"Trinket","4:05:02","Dexterity Save"
56,"Pike","0:25:00","Investigation Check"
57,"Scanlan","1:35:02","Deception Check with disadvantage"
57,"Keyleth","2:32:36","History Check"
57,"Percy","2:33:03","Intelligence Check"
58,"Percy","0:21:10","Constitution Save"
58,"Vex’ahlia","1:10:05","LBoSS against Hotis"
59,"Percy","0:25:22","Constitution Save"
60,"Scanlan","1:08:28","Insight Check"
60,"Keyleth","1:57:15","Investigation Check"
60,"Scanlan","1:57:23","Investigation Check"
60,"Vex’ahlia","2:31:03","Perception Check"
61,"Scanlan","1:08:06","to determine whether to get the instruments with disadvantage"
61,"Vex’ahlia","1:24:50","Persuasion Check"
61,"Percy","1:53:08","Perception Check"
61,"Vax’ildan","1:53:09","Perception Check"
61,"Scanlan","1:54:25","Athletics Check with disadvantage (disregarded"
61,"Scanlan","1:54:25","Athletics Check with disadvantage"
61,"Vax’ildan","1:54:36","Athletics Check with Luck (disregarded"
61,"Grog","2:01:06","Wisdom Save"
61,"Keyleth","2:07:27","Perception Check"
61,"Grog","2:30:40","Constitution Save"
62,"Vex’ahlia","0:20:25","Strength Check"
62,"Keyleth","0:30:14","Wisdom Check"
62,"Keyleth","0:44:50","Wisdom Check"
62,"Keyleth","0:53:10","Wisdom Check"
62,"Percy","1:23:19","Retort with disadvantage"
63,"Vex’ahlia","3:14:33","Concentration Check"
63,"Grog","3:25:16","Athletics Check"
64,"Vex’ahlia","3:19:45","Perception Check"
65,"Vax’ildan","0:34:34","Thrown Gauntlet Attack"
65,"Vax’ildan","2:00:09","Stealth Check with Luck (disregarded due to Luck"
65,"Vax’ildan","2:00:15","Stealth Check with Luck"
65,"Grog","2:34:53","Investigation Check"
65,"Vex’ahlia","4:04:33","Perception Check"
66,"Vax’ildan","0:50:57","Sharpshooter Thrown Dagger"
66,"Vax’ildan","1:10:12","Dagger with advantage (disregarded"
66,"Vax’ildan","1:10:14","Dagger with advantage (disregarded"
66,"Vex’ahlia","1:38:42","Perception Check"
66,"Keyleth","2:13:27","Sleight of Hand Check"
66,"Grog","2:42:10","Intimidation Check"
66,"Percy","2:52:00","Sleight of Hand Check"
66,"Percy","3:07:50","Investigation Check"
66,"Scanlan","3:47:35","Perception Check"
67,"Keyleth","0:29:00","Intelligence Check"
67,"Scanlan","1:55:14","Arcana Check"
68,"Scanlan","0:14:10","Perception check to look for Ripley on the beach"
68,"Vex’ahlia","0:40:01","Fenthras against Maelstrom"
68,"Grog","0:52:54","Reckless Bloodaxe against AE1 (disregarded due to advantage"
68,"Percy","1:03:34","Perception Check"
68,"Grog","1:03:41","Perception Check"
68,"Vex’ahlia","3:36:52","Shot against Orthax"
68,"Vax’ildan","3:45:41","Wisdom Save"
68,"Vax’ildan","4:15:50","Dagger Sharpshooter against Orthax"
69,"Vax’ildan","0:35:55","Investigation Check"
69,"Vex’ahlia","0:40:57","Investigation Check"
69,"Pike","2:25:56","Constitution Save"
70,"Grog","1:06:36","Religion Check"
71,"Vex’ahlia","0:23:52","Survival Check with advantage"
71,"Keyleth","0:39:30","Stealth Check"
71,"Pike","0:39:37","Stealth Check with disadvantage"
71,"Percy","4:18:54","Acrobatics Check (-1"
71,"Grog","4:28:39","Investigation Check"
72,"Grog","0:44:50","Perception Check"
72,"Keyleth","1:44:13","Slam Attack against Grog (Earth Elemental"
72,"Scanlan","2:20:52","Mythcarver against Elephant!Keyleth"
72,"Grog","2:26:32","Bloodaxe against Elephant!Keyleth"
72,"Vax’ildan","2:44:14","Dexterity Save with Luck (disregarded"
75,"Keyleth","1:20:41","Insight Check"
75,"Grog","3:23:03","Perception Check"
75,"Scanlan","3:39:43","Deception Check"
76,"Pike","0:16:37","Initiative"
76,"Vex’ahlia","0:19:43","Fenthras Bramble Shot against Ghurrix"
76,"Vex’ahlia","0:48:39","Fenthras against Ghurrix"
76,"Grog","1:12:28","Bloodaxe Reckless GWM against Erinyes AoO (disregarded due to advantage"
76,"Grog","1:12:28","Bloodaxe Reckless GWM against Erinyes AoO"
76,"Vex’ahlia","1:21:19","Fenthras against Ghurrix"
76,"Vax’ildan","1:30:16","Whisper against Erinyes with disadvantage"
76,"Keyleth","1:43:53","Constitution Save"
76,"Vex’ahlia","3:36:16","Insight Check"
77,"Vax’ildan","1:31:38","Constitution Save with Luck (disregarded"
77,"Vex’ahlia","1:45:26","Fenthras against Grog"
77,"Scanlan","2:00:36","Bigby’s Hand Attack against FG"
77,"Grog","3:27:40","Insight Check"
78,"Keyleth","0:32:21","Perception Check with disadvantage (disregarded"
78,"Keyleth","0:32:21","Perception Check with disadvantage"
78,"Vex’ahlia","3:22:58","Persuasion Check with disadvantage"
78,"Vax’ildan","3:23:02","Persuasion Check with disadvantage"
79,"Percy","0:34:34","Dexterity save with Indomitable (disregarded"
79,"Grog","0:39:13","Bloodaxe Reckless GWM against Thordak (disregarded"
79,"Vex’ahlia","4:07:16","Fenthras against Raishan"
80,"Pike","1:00:37","Constitution Save"
80,"Vex’ahlia","2:36:03","Dexterity Save"
80,"Keyleth","2:44:50","Athletics Check"
81,"Grog","1:18:50","Stealth Check"
81,"Vex’ahlia","2:28:19","History Check"
81,"Kerrek","3:26:05","Constitution Save"
82,"Keyleth","1:12:52","Perception Check"
82,"Vax’ildan","2:09:28","Dexterity Save with Luck (disregarded"
82,"Kerrek","2:34:29","Flameskull Battle Initiative"
82,"Vax’ildan","3:26:13","Investigation Check"
82,"Vex’ahlia","3:39:36","Acrobatics Check"
82,"Vex’ahlia","4:14:57","Investigation Check"
82,"Vax’ildan","4:28:04","Perception Check"
83,"Percy","0:13:39","Stealth Check"
83,"Vex’ahlia","1:38:30","Concentration Check"
83,"Grog","2:15:44","Dwarven Thrower (thrown"
83,"Vex’ahlia","2:19:20","Dexterity Save"
83,"Vax’ildan","3:17:01","Investigation Check with Luck (disregarded"
83,"Vax’ildan","3:17:01","Investigation Check with Luck"
84,"Pike","3:10:09","Religion Check"
85,"Grog","0:44:15","DT GWM with disadvantage"
86,"Taryon","2:48:32","History Check"
87,"Keyleth","Nat1,","Athletics Check"
87,"Vex’ahlia","0:55:22","Fenthras against Marid with disadvantage"
87,"Percy","Unknown,","Animus Piercing Shot with disadvantage"
87,"Vex’ahlia","Nat1,","Perception Check"
87,"Percy","Nat1,","Intelligence Check"
88,"Percy","2:19:13","Perception Check"
88,"Taryon","2:23:06","Investigation Check"
88,"Taryon","2:24:10","Stealth Check"
88,"Vax’ildan","3:04:25","Whisper with disadvantage and Luck against Kraken (disregarded due to Luck"
88,"Percy","3:07:25","Concentration Check"
88,"Taryon","4:12:30","Dexterity Save with disadvantage"
88,"Keyleth","3:56:49","Constitution Save"
88,"Grog","4:47:14","Investigation Check"
88,"Taryon","5:02:15","Rod of Mercurial Form (crossbow"
90,"Vax’ildan","3:14:36","Insight Check"
92,"Percy","0:28:37","Intelligence Check"
92,"Taryon","0:28:37","Intelligence Check"
92,"Percy","2:09:23","Stealth Check with Pass Without a Trace"
92,"Keyleth","2:45:56","Initiative"
92,"Grog","2:58:30","DT Reckless against Cambion (disregarded"
93,"Taryon","1:26:08","Ring of the Ram (3 charges"
93,"Tova","1:33:39","Cage Throwing Attack"
93,"Vex’ahlia","1:51:16","Fenthras against Utugash"
93,"Keyleth","3:02:28","Investigation Check"
94,"Vex’ahlia","3:21:12","Perception Check with advantage (disregarded"
95,"Vax’ildan","1:30:52","Deception Check with Luck (disregarded"
95,"Keyleth","1:56:17","Animal Handling Check"
95,"Vex’ahlia","3:10:51","Insight Check"
95,"Taryon","3:20:38","Persuasion Check with Luck (disregarded"
96,"Vax’ildan","3:37:11","Initiative with Luck (disregarded"
96,"Doty","3:57:49","Headbutt against Shade"
96,"Vax’ildan","4:25:58","Dexterity Check with Luck (disregarded"
98,"Pike","3:52:55","Athletics Check"
99,"Vex’ahlia","2:15:38","Dexterity Check"
99,"Scanlan","2:15:42","Constitution Save"
100,"Vex’ahlia","3:09:52","Fenthras against Skeleton"
100,"Grog","3:13:53","Bloodaxe Reckless GWM (disregarded"
100,"Grog","3:13:53","Bloodaxe Reckless GWM"
100,"Doty","3:47:18","Constitution Save"
100,"Vex’ahlia","4:28:15","Fenthras Blazing Bowstring against Black Guard"
102,"Percy","0:19:21","Investigation Check"
102,"Percy","2:38:22","Initiative"
102,"Keyleth","3:13:07","Dexterity Save"
102,"Scanlan","3:54:48","Counterspell"
102,"Grog","3:57:04","Stealth Check"
103,"Scanlan","0:21:40","Wisdom Save with advantage (disregarded"
104,"Vax’ildan","0:26:30","Investigation Check"
104,"Keyleth","1:29:40","Nature Check"
105,"Vex’ahlia","0:51:20","Survival Check with advantage (disregarded"
105,"Sprigg","3:49:08","Perception Check"
107,"Vax’ildan","1:50:13","Athletics Check with Luck (disregarded"
107,"Percy","2:26:10","Initiative Check"
108,"Vex’ahlia","0:14:35","Fenthras against Smelter Guardian 1"
108,"Scanlan","0:30:58","Dexterity Save against Chest Furnace"
108,"Grog","0:55:33","Investigation Check"
108,"Elemental","Keyleth","(2:29:45"
108,"Scanlan","3:12:02","Constitution Save with advantage (disregarded"
108,"Scanlan","3:45:46","Constitution Save"
109,"Percy","0:44:19","Insight Check"
109,"Grog","2:57:51","Intelligence Check"
109,"Keyleth","3:24:58","Strength Save"
110,"Pike","0:42:18","Elemental Battle Initiative"
110,"Trinket","1:13:57","Dexterity Save"
110,"Vex’ahlia","2:46:52","Fenthras against Troll 1"
111,"Keyleth","0:45:35","Nature Check"
111,"Vax’ildan","1:17:55","Investigation Check"
111,"Vex’ahlia","1:19:19","Perception Check"
111,"Grog","1:36:13","Stealth Check with PWaT"
111,"Percy","2:45:11","Investigation Check"
111,"Vex’ahlia","3:01:38","Fenthras against Cultist 1 with Advantage (disregarded"
111,"Vex’ahlia","3:01:48","Fenthras against Cultist 1 with Advantage (disregarded"
111,"Vex’ahlia 3:22:30",NA,"Constitution Save"
111,"Keyleth","3:25:35","Ice Knife AoO against Wraith"
111,"Vax’ildan","4:01:08","Dagger of Venom against Wraith"
112,"Vex’ahlia","0:35:24","Perception Check"
112,"Vax’ildan","1:20:20","Dagger of Venom against Skeleton"
112,"Grog","2:17:57","Perception Check"
112,"Keyleth","2:26:36","Stealth Check with PWaT"
113,"Arkhan","1:33:07","Perception Check"
113,"Gloomstalker","2:03:56","Attack against Dragon (Rolled by Arkhan"
113,"Vax’ildan","3:45:45","Stealth with Pass Without a Trace"
113,"Grog","4:01:26","Religion Check"
113,"Scanlan","1","Dexterity Check"
113,"Arkhan","4:40:15","Fane-Eater Battleaxe against Gilmore"
114,"Scanlan","2","Intelligence Check"
114,"Kashaw","3:09:40","Wisdom Save"
114,"Vex’ahlia","3:20:20","Fenthras Needle Arrow against Vecna"
115,"Percy","2:13:15","Investigation Check"
