"Episode","Air.Date","Laura","Liam","Marisha","Taliesin","Travis","Sam","Ashley","Orion","Guests","Skype","Live."
"1","3/12/2015",1,1,1,1,1,1,0,1,"0",0,0
"2","3/19/2015",1,1,1,1,1,1,0,1,"0",0,0
"3","3/26/2015",1,1,1,1,1,1,0,1,"0",0,0
"4","4/2/2015",1,1,1,1,1,1,1,1,"0",0,0
"5","4/9/2015",1,1,1,1,1,0,1,1,"0",0,0
"6","4/16/2015",1,1,1,1,1,1,1,1,"0",0,0
"7","4/23/2015",1,1,1,1,0,1,1,1,"0",0,0
"8","4/30/2015",1,1,1,1,0,1,1,1,"0",0,0
"9","5/7/2015",1,1,1,1,1,1,0,1,"0",0,0
"10","5/14/2015",1,1,1,1,1,1,1,1,"0",0,0
"11","5/21/2015",1,1,1,1,1,1,1,1,"0",0,0
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6/4/2015",1,1,1,1,1,1,1,1,"0",0,0
"14","6/11/2015",1,1,1,1,1,0,1,1,"0",1,0
"15","6/25/2015",1,1,1,1,1,1,1,1,"0",1,0
"16","7/2/2015",1,1,1,1,1,1,1,1,"0",1,0
"17","7/23/2015",1,1,1,1,1,1,0,1,"0",0,0
"18","7/30/2015",1,0,0,1,1,1,0,0,"1",0,0
"19","8/6/2015",1,0,0,1,1,1,0,0,"1",0,0
"20","8/13/2015",0,1,1,0,0,0,0,1,"1",0,0
"21","8/20/2015",0,1,1,0,0,0,0,1,"1",0,0
"22","8/27/2015",1,1,1,1,1,0,1,1,"0",0,0
"23","9/10/2015",1,1,1,1,1,1,0,1,"0",0,0
"24","9/17/2015",1,1,1,1,1,1,0,1,"0",0,0
"25","9/24/2015",1,1,1,1,1,1,0,1,"1",0,0
"26","10/1/2015",1,1,1,0,1,1,0,1,"0",0,0
"27","10/8/2015",1,1,1,1,1,1,0,1,"0",0,0
"28","10/15/2015",1,1,1,1,1,1,0,0,"0",0,0
"29","10/22/2015",1,1,1,1,1,1,0,0,"0",0,0
"30","10/29/2015",1,1,1,1,1,1,0,0,"0",0,0
"31","11/5/2015",1,1,1,1,1,1,0,0,"0",0,0
"32","11/12/2015",1,1,1,1,1,1,1,0,"0",1,0
"33","11/19/2015",1,1,1,1,1,1,0,0,"0",0,0
"34","12/3/2015",1,1,1,1,1,1,1,0,"0",1,0
"35","12/10/2015",1,1,1,1,1,1,1,0,"0",1,0
"36","12/17/2015",1,1,1,1,1,1,0,0,"0",0,0
"37","1/7/2016",1,1,1,1,1,1,1,0,"0",0,0
"38","1/14/2016",1,1,1,1,1,1,1,0,"0",1,0
"39","1/21/2016",1,1,1,1,1,1,0,0,"0",0,0
"40","1/28/2016",1,1,1,1,1,0,1,0,"0",1,0
"41","2/4/2016",1,1,1,1,1,1,1,0,"1",1,0
"42","2/11/2016",1,1,1,1,1,1,0,0,"0",0,0
"43","2/18/2016",1,1,1,1,1,1,0,0,"1",0,0
"44","3/10/2016",1,1,1,1,1,1,0,0,"1",0,0
"45","3/17/2016",1,1,1,1,1,1,0,0,"0",0,0
"46","3/24/2016",1,1,1,1,1,1,0,0,"ri",0,0
"47","3/31/2016",1,1,1,1,1,1,0,0,"0",1,0
"48","4/7/2016",1,1,1,1,1,1,1,0,"0",1,0
"49","4/14/2016",1,1,1,1,1,1,0,0,"0",0,0
"50","4/21/2016",1,1,1,1,1,1,1,0,"0",0,0
"51","4/28/2016",1,1,1,1,1,1,1,0,"0",0,0
"52","5/5/2016",1,1,1,1,1,1,1,0,"0",0,0
"53","5/12/2016",1,1,1,1,1,1,1,0,"0",0,0
"54","5/19/2016",1,1,1,1,1,1,1,0,"0",1,0
"55","6/2/2016",1,1,1,1,1,1,1,0,"1",0,0
"56","6/9/2016",1,1,1,1,1,1,1,0,"1",0,0
"57","6/16/2016",1,1,1,1,1,1,1,0,"0",0,0
"58","6/23/2016",1,1,1,1,1,1,1,0,"0",0,0
"59","7/7/2016",1,1,1,1,1,1,1,0,"0",1,0
"60","7/14/2016",1,1,1,1,1,1,0,0,"0",0,1
"61","7/28/2016",1,1,1,1,1,1,0,0,"0",0,0
"62","8/6/2016",1,0,1,1,1,1,1,0,"0",0,1
"63","8/11/2016",1,1,1,1,1,1,0,0,"0",1,0
"64","8/18/2016",1,1,1,1,1,1,0,0,"0",0,0
"65","8/25/2016",1,1,1,1,1,1,0,0,"0",0,0
"66","9/8/2016",1,1,1,1,1,1,0,0,"0",0,0
"67","9/15/2016",1,1,1,1,1,1,0,0,"0",0,0
"68","9/22/2016",1,1,1,1,1,1,0,0,"0",0,0
"69","9/29/2016",1,1,1,1,1,1,1,0,"0",1,0
"70","10/6/2016",1,1,1,1,1,1,0,0,"0",0,0
"71","10/13/2016",1,1,1,1,1,1,1,0,"0",0,0
"72","10/20/2016",1,1,1,1,1,1,0,0,"0",0,0
"73","10/27/2016",1,1,1,1,1,1,0,0,"0",0,0
"74","11/3/2016",1,1,1,1,1,1,1,0,"0",0,0
"75","11/10/2016",1,1,1,1,1,1,1,0,"0",0,0
"76","11/17/2016",1,1,1,1,1,1,1,0,"0",1,0
"77","12/1/2016",1,1,1,1,1,1,1,0,"0",0,0
"78","12/8/2016",1,1,1,1,0,1,0,0,"1",0,0
"79","12/15/2016",1,1,1,1,1,1,0,0,"0",0,0
"80","1/5/2017",1,1,1,1,1,1,0,0,"0",0,0
"81","1/12/2017",1,1,1,1,1,1,0,0,"1",0,0
"82","1/19/2017",1,1,1,1,1,0,0,0,"1",1,0
"83","1/26/2017",1,1,1,1,1,1,0,0,"1",0,0
"84","2/2/2017",1,1,1,1,1,0,1,0,"1",1,0
"85","2/9/2017",1,1,1,1,1,1,0,0,"0",0,0
"86","2/16/2017",1,1,1,1,1,1,0,0,"0",0,0
"87","2/23/2017",1,1,1,1,1,1,0,0,"0",0,0
"88","3/2/2017",1,1,1,1,1,1,0,0,"0",0,0
"89","3/9/2017",1,1,1,1,1,1,1,0,"0",0,0
"90","3/16/2017",1,1,1,1,1,1,0,0,"0",0,0
"91","3/23/2017",1,1,1,1,1,0,0,0,"0",0,0
"92","3/30/2017",1,1,1,1,1,1,0,0,"1",1,0
"93","4/6/2017",1,1,1,1,1,1,0,0,"1",0,0
"94","4/13/2017",1,1,1,1,1,1,1,0,"0",0,0
"95","4/27/2017",1,1,1,1,1,1,1,0,"0",0,0
"96","5/4/2017",1,1,1,1,1,1,1,0,"0",0,0
"97","5/11/2017",1,1,1,1,1,1,1,0,"0",0,0
"98","5/18/2017",1,1,1,1,1,1,1,0,"0",0,0
"99","6/1/2017",1,1,1,1,1,1,1,0,"1",0,0
"100","6/8/2017",1,1,1,1,1,1,1,0,"1",0,0
"101","6/15/2017",1,1,1,1,1,1,1,0,"0",0,0
"102","6/22/2017",1,1,1,1,1,1,1,0,"0",0,0
"103","6/29/2017",1,1,1,1,1,1,1,0,"0",0,0
"104","7/6/2017",1,1,1,1,1,1,1,0,"0",1,0
"105","7/13/2017",1,1,1,1,1,1,0,0,"1",0,0
"106","7/27/2017",1,1,1,1,1,1,0,0,"1",0,0
"107","8/3/2017",1,1,1,1,1,1,0,0,"0",0,0
"108","8/10/2017",1,1,1,1,1,1,0,0,"0",1,0
"109","8/17/2017",1,1,1,1,1,1,0,0,"0",0,1
"110","8/24/2017",1,1,1,1,1,1,0,0,"0",0,0
"111","9/14/2017",1,1,1,1,1,1,0,0,"0",0,0
"112","9/21/2017",1,1,1,1,1,1,1,0,"0",1,0
"113","9/28/2017",1,1,1,1,1,1,1,0,"Jo",0,0
"114","10/5/2017",1,1,1,1,1,1,1,0,"1",1,0
"115","10/12/2017",1,1,1,1,1,1,1,0,"1",1,0
"116","10/12/2017",1,1,1,1,1,1,1,0,"1",1,0
"117","10/12/2017",1,1,1,1,1,1,1,0,"1",1,0
"118","10/12/2017",1,1,1,1,1,1,1,0,"1",1,0
"119","10/12/2017",1,1,1,1,1,1,1,0,"1",1,0
